Unnamed: 0,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
3229,30th week,Maharashtra,Kolhapur,Malaria,18,,28,7,2016,16.7028412,74.2405329,1.556754063,3.0,303.6
3258,30th week,Maharashtra,Satara,Dengue,21,,9,6,2016,17.63612885,74.29827808,0.4248655963,,308.03000000000003
3306,31st week,Maharashtra,Jalna,Dengue,12,1.0,24,7,2016,19.91883295,75.87085986,0.5742483549,3.0,
3339,32nd week,Maharashtra,Gadchiroli,Malaria,21,1.0,24,7,2016,19.75907035,80.16228073,0.9831762867,3.0,
3352,33rd week,Maharashtra,Beed,Dengue,34,1.0,15,8,2016,18.9918442,75.909784,0.1049036388,8.0,302.98
3369,33rd week,Maharashtra,Ahmednagar,Dengue,19,1.0,8,8,2016,19.1627725,74.8580243,1.502518227,7.0,300.32
3370,33rd week,Maharashtra,Jalna,Dengue,12,,7,8,2016,19.91883295,75.87085986,1.1719982,4.0,
3412,34th week,Maharashtra,Jalna,Dengue,7,1.0,15,8,2016,19.91883295,75.87085986,0.1013382559,7.0,303.7
3413,34th week,Maharashtra,Sangli,Dengue,9,,28,7,2016,17.1726928,74.58676543,0.9946768531,5.0,
3467,36th week,Maharashtra,Nagpur,Dengue,37,,7,9,2016,21.1498134,79.0820556,0.1495673348,13.0,303.86
3537,38th week,Maharashtra,Jalgaon,Dengue,60,1.0,10,9,2016,20.84288265,75.52612464,0.08151527761,14.0,301.152
3564,39th week,Maharashtra,Osmanabad,Dengue,18,,19,3,2016,18.16984395,76.11796321,0.0007361318031,2.0,322.028
3603,40th week,Maharashtra,Aurangabad,Dengue,39,,15,9,2016,19.877263,75.3390241,0.06488762857,4.0,305.72
3605,40th week,Maharashtra,Pune,Dengue,31,1.0,19,7,2016,18.521428,73.8544541,0.3972179572,,302.15000000000003
3606,40th week,Maharashtra,Satara,Dengue,22,,7,9,2016,17.63612885,74.29827808,0.05181965443,10.0,303.6
3611,40th week,Maharashtra,Sangli,Dengue,13,,3,8,2016,17.1726928,74.58676543,0.9991063172,,296.46
3628,41st week,Maharashtra,Jalgaon,Dengue,65,,20,9,2016,20.84288265,75.52612464,0.8467985339,,297.0
3704,47th week,Maharashtra,Ratnagiri,Dengue,40,,18,11,2016,17.2826079,73.4569787,0.02057572889,18.0,305.19
3720,48th week,Maharashtra,Nagpur,Dengue,6,,23,11,2016,21.1498134,79.0820556,4.12e-05,,303.9733334
3722,48th week,Maharashtra,Latur,Dengue,13,,31,10,2016,18.35159075,76.75542361,0.01018348899,,305.868
3760,2nd week,Maharashtra,Gadchiroli,Malaria,14,1.0,25,12,2014,19.75907035,80.16228073,5.02e-05,14.0,296.91200000000003
3800,9th week,Maharashtra,Chandrapur,Malaria,51,1.0,18,2,2015,20.0967555,79.50454752,0.001169453434,,307.072
